p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,disease
100126313,100126318,100506742,153,1536,183,1906,213,23411,2697,3091,331,3383,3827,406891,406902,406903,406913,406924,406928,Myocardial Reperfusion Injury
100422821,29072,2956,3066,406947,406991,4437,4524,57510,581,673,6895,7048,8289,92,0,0,0,0,0,Microsatellite Instability
2779,2916,345193,4308,440435,5158,57010,6010,6011,60506,6295,778,9187,93589,0,0,0,0,0,0,Night blindness congenital stationary
10320,10659,10987,142,1440,1499,2033,213,26270,3105,3106,3107,3440,3458,4282,4734,4843,4924,5371,5705,Stevens Johnson Syndrome
102723724,10320,1053,1644,28232,5795,5836,59350,643246,7773,84159,8626,0,0,0,0,0,0,0,0,Leukemia Lymphocytic Acute L1
100130460,100506532,100506697,100528007,100529257,1012,10129,101927697,105,114792,125150,128611,143872,144100,1445,152330,1586,1612,200810,2122,Systemic arterial pressure
10280,10367,2890,3162,3350,3363,347,351,3553,3557,4137,4204,43,4763,5071,5153,5368,5447,5663,57030,Learning Disorders
10329,10585,11041,1282,148789,1605,2218,29954,55624,729920,79147,84197,84892,9215,0,0,0,0,0,0,Walker Warburg congenital muscular dystrophy
2200,3915,4053,4313,4318,4843,6647,6648,7048,847,0,0,0,0,0,0,0,0,0,0,Marfan Syndrome
10058,10413,3912,392255,501,5080,60,6297,6469,71,9158,9573,0,0,0,0,0,0,0,0,Congenital ocular coloboma disorder
100126594,114327,1181,2554,2563,3786,449018,50715,785,8629,0,0,0,0,0,0,0,0,0,0,Myoclonic Epilepsy Juvenile
100188861,1181,1957,2563,353124,4200,432400,4988,780913,785,846,0,0,0,0,0,0,0,0,0,Idiopathic generalized epilepsy
2674,2915,4914,4988,51083,6335,6336,6863,7124,781,7852,0,0,0,0,0,0,0,0,0,Neuralgia
10,10653,1437,1544,2348,2350,2737,27443,3458,3630,4522,4524,4886,5077,51738,5652,5697,57216,57822,6240,Neural Tube Defects
10135,10203,10261,10437,10549,1075,10875,10981,1154,133418,1390,1543,156,2114,2162,2215,22822,23460,2533,25797,Dermatitis Allergic Contact
1066,1719,1733,3704,3945,3953,4594,4645,5321,5826,64902,6513,6906,7167,7941,9719,0,0,0,0,Inborn Errors of Metabolism
100302150,100422970,100506606,100533975,10666,140733,144406,153830,163,2149,221037,23095,26052,2972,30845,4208,4778,50650,51012,51272,Platelet mean volume finding
100506385,101927421,19,221711,2302,23274,260328,285045,286183,3596,3909,54715,63976,79068,8128,955,0,0,0,0,Allergic rhinitis disorder
100130460,100506532,100506697,100528007,100529257,1012,10129,101927697,105,114792,125150,128611,143872,144100,1445,152330,1586,1612,200810,2122,Blood pressure finding
100507098,101927119,102060414,102724766,10452,1071,114902,1295,1300,2074,221294,23539,24,2444,3075,341,3426,348,387715,389641,Age related macular degeneration
10102,137735,1440,150094,153,154,1674,1756,1824,1832,1956,282996,2876,355,356,3688,3757,4000,4306,4607,Cardiomyopathy Dilated
100128505,100507346,10144,101928165,101928765,101929558,10428,1136,120935,177,2122,23245,23500,3360,3672,401237,4035,4237,4277,4324,Pulmonary function finding
1072,1119,2263,25828,5077,5110,5130,5156,5444,57216,6347,0,0,0,0,0,0,0,0,0,Spina Bifida
11186,23493,2548,3315,3329,3630,4607,4609,4624,4633,4635,4719,4830,5443,58498,5894,6548,6902,7139,7157,Hypertrophic Cardiomyopathy
11020,123016,129880,166379,22954,26160,27241,4867,51057,54585,54903,55212,582,583,585,79738,80184,8195,84100,91147,Bardet Biedl Syndrome
1192,1277,1281,1289,1381,140465,140625,1984,213,2266,2495,2512,2810,3045,3956,396,4282,4734,5052,5176,Keloid
10013,100996521,1017,1028,1029,10397,10481,10557,10589,10743,10855,10963,11098,11141,114795,115265,116071,116150,1191,1207,melanoma
1029,10320,2120,2322,25,26053,2625,27086,3107,3131,3492,4297,4299,5079,5087,5156,5305,613,6929,7157,LEUKEMIA ACUTE LYMPHOBLASTIC SUSCEPTIBILITY TO 3
10803,1230,1235,142,1437,196,23,23411,2833,2919,3162,3458,3553,3554,3560,3565,3568,3569,3572,3596,Pneumonia
149775,26249,2778,4306,6337,6338,6340,65125,65266,7830,8675,0,0,0,0,0,0,0,0,0,Pseudohypoaldosteronism
11010,11281,129563,1499,1653,1740,255738,2719,283120,3481,4810,5978,675,6948,7428,7490,0,0,0,0,Nephroblastoma
123263,137682,374291,4536,4537,4540,4541,4695,4704,4705,4722,4724,55967,91942,0,0,0,0,0,0,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
1113,1312,1621,1644,23095,2668,4128,4129,4149,4763,55654,5979,6390,6392,7054,7428,0,0,0,0,Pheochromocytoma
101927688,1062,1618,1761,2261,27306,3815,4254,4313,5307,55159,55729,578,63978,6793,6794,6928,7371,8093,81848,Testicular Germ Cell Tumor
1082,1586,1588,2488,2796,2798,3952,3953,3972,5424,55315,5617,6866,6870,0,0,0,0,0,0,Hypogonadism
10367,10911,1268,1392,1812,1813,1814,23237,2348,2354,283989,3064,3084,43,4988,5173,6323,6558,7504,79042,Movement Disorders
1437,23532,2950,3458,4170,4763,5077,5290,55534,6597,6657,7124,7157,0,0,0,0,0,0,0,Sarcoma
10232,2064,27086,2810,301,360,3814,4489,51129,6462,6648,6774,7253,9770,0,0,0,0,0,0,Lymphatic Metastasis
2936,3481,3553,3630,5265,5465,6648,6927,7124,775,0,0,0,0,0,0,0,0,0,0,Hypoglycemia
1723,3043,3240,4879,53335,7124,7372,7412,790,8131,0,0,0,0,0,0,0,0,0,0,Anemia Sickle Cell
100288687,1026,1281,1634,176,2006,22947,23347,2483,2953,3304,3308,4060,0,0,0,0,0,0,0,Muscular Dystrophy Facioscapulohumeral
100131315,100996485,101805488,101927324,10714,120376,143187,1499,171472,259217,2625,26585,283050,3911,3915,399948,4092,4512,51474,5157,Colorectal Cancer
10152,1269,1401,142,1535,1593,177,183,19,196,2099,23411,240,241,246,2944,3240,3269,3304,337,Atherosclerosis
100130503,10111,1017,101928940,101928947,101929231,10451,10665,108,11127,117,117156,134430,142,149628,154,169026,1728,1767,1786,Asthma
1410,1674,1829,23171,27063,3920,4563,4565,4607,4624,4625,4633,4634,57158,6331,7137,7139,7168,8048,859,Cardiomyopathy Hypertrophic Familial
10280,1103,1128,11284,1136,1137,1138,1139,1143,1191,1244,1268,135,1392,147,1583,18,1812,1813,1814,Seizures
100128590,100130950,100289673,10082,101927587,101929423,102465508,10347,10418,10452,10658,10659,10858,10979,1139,1141,114876,1191,1200,121601,Alzheimers Disease
102723403,113510,204801,221711,284417,3839,51720,5428,54933,54971,5557,64838,7916,80736,81550,84446,84515,8630,9070,9156,Menopause present finding
10111,1019,1029,11200,201163,2176,2271,23022,2956,324,4089,4149,4221,4233,4286,4292,4361,4436,4595,4683,Neoplastic Syndromes Hereditary
1244,1440,1906,2520,4524,4548,4638,4780,5443,57680,885,9817,0,0,0,0,0,0,0,0,Gastrointestinal Diseases
100131801,116228,1340,1352,22868,28958,4512,4513,4514,4567,4570,51204,6341,6834,84334,84987,9997,0,0,0,Cytochrome c Oxidase Deficiency
100506658,10806,1103,1297,23411,30813,3162,3383,3440,4318,4543,4843,5155,5311,5788,7070,7124,7274,7422,7431,Retinal Diseases
1382,197322,2820,284119,4594,4735,54205,55752,6648,8801,0,0,0,0,0,0,0,0,0,0,Methylmalonic acidemia
10850,11004,1230,1394,1490,1520,1543,1545,1646,1649,1672,1728,1843,196,2167,2312,2315,23657,2495,2539,Contact Dermatitis
100533107,100874011,101927260,101927774,21,10665,11127,1232,1234,129446,151887,22891,2312,2720,282617,2833,284382,3106,339400,3458,Dermatitis Atopic
100188853,100188854,10376,10487,10576,10584,10935,111,11138,11315,11343,114876,118429,1277,1278,1588,2023,2122,220164,2243,Osteoporosis
10539,10616,1375,147,1489,150,152,1543,1545,156,1571,1756,183,1906,196,207,2247,23523,26,2621,Cardiomegaly
101927421,101927998,101928376,102723706,102723722,11075,114784,121278,1394,1565,158435,164684,166752,1826,221692,22801,2289,23037,27445,2766,Major Depressive Disorder
10142,10308,10443,118856,2068,2263,22902,23043,239,2707,2803,2920,2921,2944,29896,3304,3398,3440,3552,3553,Dermatologic disorders
10019,10544,10747,11221,11277,114131,114548,1241,1280,1395,1401,142,1437,177,183,1906,1947,1958,196,2056,Inflammation
1129,2915,3082,3643,4311,4313,4318,4908,6446,7040,7099,836,847,0,0,0,0,0,0,0,Diabetic Neuropathies
10047,1080,1543,1586,161582,1636,1831,196,2054,2099,217,23424,2488,2516,2796,2879,29102,3237,339345,346562,Male infertility
10398,10516,196,2056,217,2641,3082,4524,4638,5311,6559,6648,7076,7124,79001,79924,0,0,0,0,Vascular Diseases
1050,1051,1490,1586,1588,1719,2099,2100,2488,2494,367,3952,3953,3972,3976,406,4524,5069,51094,5594,Female infertility
10848,2078,2099,2246,2305,23532,29072,2944,3240,329,330,3558,366,367,3717,4255,4297,54541,55512,5590,leukemia
1001,100529151,100533107,100996485,100996583,10109,101927324,10320,10544,10747,11261,11315,120400,1235,132612,146198,149233,150962,159296,1611,Ulcerative Colitis
10346,10410,10561,10964,11277,23424,23586,24138,2537,2633,27074,27348,3429,3430,3433,3434,3437,3627,3665,4061,Influenza
10318,134728,1609,2212,2969,3592,50618,55023,639,6775,7128,9232,0,0,0,0,0,0,0,0,Sjogrens Syndrome
10643,10903,176,253461,254251,387103,57169,64399,6499,8091,8200,0,0,0,0,0,0,0,0,0,Infant length
10319,10743,11141,1153,139411,151531,1718,1734,1735,1742,1745,1804,1806,1815,205428,23462,2562,26047,27086,2904,Child Development Disorders RR307 Pervasive
10550,107,1133,1138,1139,114,1141,1143,1268,134,135,1385,1392,1401,1813,2166,2353,2770,2775,2778,Substance Withdrawal Syndrome
10000,1778,2475,26128,3340,347733,3796,3800,5290,6505,7283,0,0,0,0,0,0,0,0,0,Malformations of Cortical Development
100874137,10133,10242,10280,10562,10891,116984,132989,1501,151194,1610,1639,1804,201161,203228,2066,22920,23025,23435,23503,Amyotrophic Lateral Sclerosis
10617,11284,1137,152330,1813,3785,4036,4204,4915,5376,55738,5728,57582,6513,6535,81704,85358,867,8671,9197,Developmental Disabilities
101929680,10964,112755,1460,2566,3613,4179,6323,6324,6326,63982,7918,0,0,0,0,0,0,0,0,Febrile Convulsions
100126309,10062,123264,1244,1432,1581,1582,1593,1728,1958,200931,2243,2920,3383,3479,3569,3576,406884,406891,406920,Cholestasis
10516,1317,147381,1636,1906,1910,23476,240,2629,3091,3357,3576,384,4015,406987,4093,440275,4846,4879,538,Pulmonary Hypertension
10342,1964,2120,2304,23085,238,3265,3845,4893,4914,4916,51079,5108,51592,5468,5573,5979,5987,673,7080,Papillary thyroid carcinoma
1134,127602,29855,2990,3039,3040,4703,4758,5476,55901,79623,8323,8736,0,0,0,0,0,0,0,Hydrops Fetalis Non Immune
10135,23411,240,2641,3162,3458,3479,3553,3565,3569,3586,3605,4282,4353,4843,51738,5743,5970,6714,6868,Colitis
1071,19,2053,255738,26228,2690,336,337,338,345,348,3949,3990,4023,5444,5445,0,0,0,0,Hypercholesterolemia Familial
1392,1394,1395,3360,3440,3553,3557,3558,4852,5697,7124,7132,8797,885,90226,0,0,0,0,0,Anorexia
100188790,100188851,101927066,10335,1909,192115,2099,221692,23245,23484,317773,3356,337892,338567,387576,4035,4209,4326,51253,54805,Migraine Disorders
10265,1280,1297,1302,2248,2706,2707,4036,5172,60,8772,0,0,0,0,0,0,0,0,0,Sensorineural Hearing Loss disorder
10062,102724766,10452,1071,116519,1401,157273,19,23411,23644,2590,2646,283450,3159,3358,338,3569,3606,3630,3929,Metabolic Syndrome X
100126346,3753,3784,406901,406902,406920,406959,406962,406985,407033,407034,407056,442899,442903,442907,494330,4968,554210,574447,57551,Noise induced hearing loss
10125,1021,10437,1050,1052,10634,10801,11040,11168,113,11326,1269,1436,1437,1440,1471,1495,1512,1522,1612,Leukemia Myelocytic Acute
10631,10800,11251,1232,2206,30009,3115,4056,57105,5732,5739,5743,6915,0,0,0,0,0,0,0,Asthma Aspirin Induced
153241,26160,465,55112,57560,57728,79659,79809,89891,9742,0,0,0,0,0,0,0,0,0,0,Jeune thoracic dystrophy
100529262,101927078,2212,253017,254827,3781,640,79682,79934,80271,8190,90390,958,0,0,0,0,0,0,0,Mucocutaneous Lymph Node Syndrome
1184,1508,1514,1536,1773,1803,183,185,213,241,26762,2990,3106,3117,3123,3458,348,3557,387,3952,Proteinuria
10580,10628,1282,160851,1636,183,2066,213,23328,2621,27283,284757,3630,3791,3816,3899,406937,4192,4780,4846,Diabetic Nephropathy
16,1639,1778,1785,23064,23095,26353,2705,3236,3300,3315,3508,3908,4000,4141,4359,4747,5376,5428,54332,Charcot Marie Tooth Disease
100507436,1277,1278,1471,1493,2247,3458,4015,4312,4313,4318,5743,7040,7076,7124,0,0,0,0,0,Oral Submucous Fibrosis
1499,1545,23512,23600,240,2697,2705,324,3479,3762,3845,4552,4583,476,4763,489,492,54822,5617,5757,Adenoma
1437,1440,1806,1991,2213,3440,3553,4524,5243,54658,7172,84522,8797,0,0,0,0,0,0,0,Neutropenia
116115,1859,1911,27245,283635,54617,57102,57511,5813,8208,92154,93649,9871,0,0,0,0,0,0,0,Poor school performance
148022,176,3565,4194,5016,545,5803,64072,64699,64711,759,761,8290,9466,0,0,0,0,0,0,Pneumoconiosis
10050,102724766,10452,1071,11141,1401,1471,149773,153,1557,1636,183,1906,1952,213,23621,257160,2646,2688,2876,Cardiovascular Diseases
114548,1373,146722,221037,2243,2244,3083,326624,3554,3570,441108,5339,54543,54798,553103,57609,64231,6583,724031,80205,Fibrinogen Adverse Event
9,100129940,100188782,100507098,100507118,100526783,10125,101927736,101928423,10198,10239,102725019,10296,1036,10363,10644,10891,10984,111,11124,Diabetes Mellitus  Non Insulin Dependent
1437,1440,2056,2120,213,2212,2623,2812,2815,3105,3440,3562,3674,3690,3704,374569,4524,5175,5196,54205,Thrombocytopenia
1027,1029,1107,1233,1387,1788,3561,5335,54790,5592,5594,5728,58508,5925,6195,6597,65980,673,6935,7133,Sezary Syndrome
1409,1414,1415,1417,1421,146862,2700,4284,4810,631,7466,79443,0,0,0,0,0,0,0,0,Nuclear non senile cataract
101928236,114803,1401,183,185,23411,2572,266722,285600,3383,339529,5444,54715,58504,6647,7057,7422,836,84898,0,Diabetic Retinopathy
8,10788,114801,130951,1369,147372,1687,1786,2151,219749,221711,2241,22871,23555,253827,285362,285590,30820,339559,348,hearing impairment
10452,10814,10815,114088,1816,274,2902,2908,3351,3356,4914,54504,551,57419,5816,627,6616,7447,81578,8991,Psychotic Disorders
10743,1138,1141,1268,135,1392,1394,1395,1401,1786,1813,2353,2555,2739,2782,2918,3363,3440,351,390275,Anxiety Disorders
100287932,10171,10260,164656,1890,220972,2639,3039,3077,55692,7037,7068,8131,83986,896,0,0,0,0,0,Finding of Mean Corpuscular Hemoglobin
101929582,101929620,10659,11281,131034,145820,221935,22871,26053,2820,29951,3213,3232,53353,5607,63976,9705,0,0,0,Motion Sickness
10019,2247,3440,3717,4352,5154,5155,54790,7040,7066,7157,811,0,0,0,0,0,0,0,0,Thrombocythemia Essential
10665,1280,1314,221035,221037,3240,51300,7538,79679,969,0,0,0,0,0,0,0,0,0,0,Arthritis
11188,1268,134,135,1392,147,1489,150,1636,1812,1813,183,1906,1907,1908,213,2246,2641,2890,2904,Hypotension
1026,1103,11213,148022,1536,183,1839,1906,1946,1948,1950,1958,2113,2247,2252,2277,2353,240,2520,2705,Reperfusion Injury
2353,3552,3553,3569,3586,3725,4790,4791,5966,5970,5971,7124,0,0,0,0,0,0,0,0,Heat Stroke
1440,1499,2321,2701,285,3265,3725,3791,3845,4609,5335,5787,595,7010,7157,7422,7424,80781,0,0,Hemangiosarcoma
10,10631,10800,114548,1244,134,135,1559,1636,2205,2206,2207,2944,2950,3002,3106,3123,3176,3303,3305,Drug Allergy
2253,2619,2736,28514,4838,50937,5727,6469,6496,6997,7050,7546,84976,8928,0,0,0,0,0,0,SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR
1021,10389,11186,114826,1499,1755,1786,2064,2100,23030,23081,2313,23476,23532,29,3090,324,4352,4609,4610,Medulloblastoma
10253,10588,2247,2248,2252,2253,2254,2255,2260,2261,2263,23743,24,3664,4524,4548,4609,4846,5727,6573,Cleft Lip
10253,10588,1147,1280,1739,1950,2247,2248,2252,2253,2254,2255,2260,2261,2263,23314,23743,3664,374654,4335,Cleft Palate
10069,10215,10311,10317,10600,10694,11096,116159,116448,1437,1440,150082,150084,1826,1827,1859,2078,2114,23515,23562,Muscle Weakness
10397,10683,2099,2100,2260,23462,23493,26524,3091,367,3845,4314,4318,4763,4851,4853,4915,57670,5781,673,Astrocytoma
1471,1476,1514,207,210,3280,4771,5155,5241,5728,6608,8028,0,0,0,0,0,0,0,0,Meningioma
1004,3569,3576,51738,5743,5744,7124,7132,7538,939,0,0,0,0,0,0,0,0,0,0,Cachexia
10516,3480,4137,4204,5173,5327,57560,7200,779,92667,9963,0,0,0,0,0,0,0,0,0,Respiratory Insufficiency
1232,23516,27173,2919,3269,3309,3565,3569,3600,5054,55630,5777,6355,6356,7099,7124,7378,7782,0,0,Respiratory Hypersensitivity
10887,11280,1268,1269,133,1445,1814,183,1906,22953,239,240,2668,2904,3231,3356,3479,3552,3553,3557,Hyperalgesia
1406,145226,167691,23418,23746,25794,3000,343035,3614,3769,392255,5189,55812,57096,6121,64802,7287,7399,80184,9227,Leber Congenital Amaurosis
100312954,100507679,10665,10678,114836,114904,115352,117189,1493,23,26191,2638,28,3137,3710,50976,64135,646702,7038,7253,Graves Disease
120,147,1577,1728,2353,241,2475,2570,27040,4780,5023,5243,5327,5444,5580,590,598,6039,6430,6489,Neurotoxicity Syndromes
291,4607,4624,4625,4634,70,7134,7139,85366,859,0,0,0,0,0,0,0,0,0,0,Cardiomyopathy Familial Hypertrophic 1 disorder
10021,1482,1636,1674,1906,2100,23224,3360,3741,3759,3782,4524,463,4846,4879,5396,6331,6336,6401,6660,Atrial Fibrillation
10063,1356,150684,27232,2876,3082,3440,3855,3880,4087,4233,4288,4489,475,538,59,6647,6774,7040,836,Hepatitis Chronic
100528032,101928376,102724748,1230,149233,170679,29842,3106,335,337867,338,3383,3576,3586,3592,3595,3683,3689,4210,5054,Behcet Syndrome
120892,142,1639,1644,1813,216,2668,2936,4137,478,4803,5071,5173,5428,55532,5580,5617,65018,6571,6622,Parkinsonian Disorders
10533,1317,1489,1508,1571,1756,183,196,2170,22827,2597,2628,26762,2950,29952,3146,3458,351,355,3553,Necrosis
10417,10803,1230,1235,150684,1543,1828,213,23,2833,29126,2919,3106,3117,3119,3123,3126,3127,3240,3458,Hypersensitivity
100129620,100359401,10265,10579,1280,1297,1665,2313,2893,3908,393093,399959,4285,443,4990,5371,56479,57369,57706,5789,Myopia
100,116,153,183,3553,3827,3990,4843,5743,624,6863,847,9370,0,0,0,0,0,0,0,Hyperemia
2263,4038,4487,5080,5308,54499,56172,6926,860,91252,0,0,0,0,0,0,0,0,0,0,Tooth Abnormalities
10549,1281,1728,177,2200,2641,2645,2876,3159,3290,3630,3643,3953,4780,4846,5579,5743,6492,6667,8660,Hyperglycemia
144568,1969,23522,3265,3845,4893,5604,5605,5781,5894,5922,6016,6654,6655,673,8036,8216,0,0,0,Noonan Syndrome
1281,1831,2200,2641,2746,2876,3162,3172,3630,3643,3667,3952,3953,4160,4846,79661,0,0,0,0,Hyperinsulinism
1280,2936,335,3569,3576,3589,3630,3827,5020,5443,5608,5743,6548,6549,6550,6778,6863,7124,7432,796,Edema
10797,1440,200942,2625,2950,3440,3596,399717,4792,54658,5770,5820,5966,64084,6929,8320,8837,943,0,0,Hodgkin Disease
120227,1593,1717,2099,2638,29123,3479,3778,4036,4313,80169,0,0,0,0,0,0,0,0,0,Metabolic Bone Disorder
11127,1146,1147,1749,1836,25836,27125,2720,285590,286,3237,3481,407975,4880,5125,54499,57560,6197,6569,658,Bone Diseases Developmental
10021,2056,3759,4000,4846,4879,6262,6331,7139,845,0,0,0,0,0,0,0,0,0,0,Tachycardia Ventricular
1137,1565,1861,25792,2643,2774,478,55145,55532,60,6342,7054,84947,8575,0,0,0,0,0,0,Dystonia
10461,153090,2056,2243,4524,5327,5328,6915,7056,7498,847,0,0,0,0,0,0,0,0,0,Pulmonary Embolism
1051,1215,1232,1437,1440,1490,1906,1950,2006,2246,2247,2252,26585,2920,3082,3162,3479,3553,3565,3567,Pulmonary Fibrosis
1392,150094,170302,23236,2904,3295,51733,5277,5443,6326,6487,6709,6792,7248,7249,0,0,0,0,0,West Syndrome
100527963,11243,1270,1636,2155,2321,3162,3163,3674,3685,3690,3791,4313,4314,4318,462,4879,5327,5328,5443,Cerebral Hemorrhage
10142,287,3753,3757,3762,3784,6330,6331,6640,801,805,859,9722,9992,0,0,0,0,0,0,Romano Ward Syndrome
100129620,1002,100286844,100506457,100526835,10082,100874326,10135,101927414,101927712,101929328,10207,102723742,1066,10667,10743,10752,10806,10840,1136,Obesity
1003,10412,10537,123264,1244,163486,200931,23274,3091,3385,3484,3575,3592,3593,3627,3855,4015,4017,4283,4790,Biliary cirrhosis
5189,5190,5192,5193,5194,5195,55670,5824,5828,8504,9409,0,0,0,0,0,0,0,0,0,Peroxisome biogenesis disorders
1736,26277,5073,51750,54433,55135,55505,55651,7012,7015,79650,80169,0,0,0,0,0,0,0,0,Dyskeratosis Congenita
2056,2321,3383,3791,4256,4846,4982,5741,6446,650,6678,6696,7040,7046,7412,7421,860,0,0,0,Uremia
121278,1269,1392,1440,1816,213,2182,2247,2260,23705,2495,2512,2739,2782,2908,2931,2932,3363,3440,3569,Depressive disorder
10461,1401,1557,1577,183,2056,2147,2152,2153,2158,2159,2212,2243,2322,2526,2621,2811,2982,3082,3162,Thrombosis
10392,10908,1137,1244,1440,154,1558,1559,1719,1806,2019,2290,2353,2670,2990,3399,3785,388585,429,43,nervous system disorder
10006,10015,100507463,10051,10097,10112,10135,10146,10159,10184,101929664,10197,102,10228,10255,10288,1033,10342,10403,10434,IGA Glomerulonephritis
1141,1268,2641,2796,3592,3593,3972,4843,6647,7124,7200,7252,0,0,0,0,0,0,0,0,Hypothermia natural
1280,1409,1410,1414,1420,1421,1427,2074,231,23424,2584,2703,3982,4284,472,490,5309,57447,7431,8671,Cataract
10919,1490,3107,3111,3113,3115,3118,3120,3240,3440,4855,629,6941,7332,958,0,0,0,0,0,Hepatitis B Chronic
1543,1571,2205,240,3106,3115,3119,335,344,345,3565,3606,3827,4353,4524,6863,721,7276,0,0,Drug Eruptions
1000,100124700,10131,10148,1019,10232,1026,1027,1029,1032,10330,10395,10468,10528,10550,10574,1075,11197,11200,1152,Stomach Neoplasms
10210,11174,11200,1576,170691,1719,1956,1965,2101,2146,23476,2348,2914,2950,3725,3756,4015,406900,406920,407050,Osteosarcoma
10019,101929163,10255,10766,114904,116449,1235,148022,2175,23322,26191,27086,3002,3559,4026,4157,473,53347,56244,57178,Vitiligo
133,1950,2056,3084,3375,3553,3952,4318,4843,4846,51738,5742,5743,7124,7422,7425,847,885,0,0,Gastric ulcer
100270916,102465435,10297,10636,10666,109,11007,11140,11186,11273,11315,126789,128611,1326,149233,150280,150962,1611,163486,1670,Inflammatory Bowel Diseases
1947,2077,2146,2263,27241,4745,55764,57539,650,6938,7291,0,0,0,0,0,0,0,0,0,Craniosynostosis
107,114,135,1394,1812,1813,1814,2353,2550,26047,2641,2890,2891,28964,3356,3358,3558,4135,4803,4852,Hyperactive behavior
5189,5190,5192,5193,5194,5195,55670,5824,5828,5830,8504,8799,9409,0,0,0,0,0,0,0,Infantile Refsum Disease disorder
5189,5190,5192,5193,5194,5195,55670,5824,5828,5830,8504,8799,9409,0,0,0,0,0,0,0,Adrenoleukodystrophy Neonatal
100188850,10512,1889,1908,1910,223117,246321,246322,2668,3084,3897,404719,404720,4902,5979,8929,0,0,0,0,Hirschsprung Disease
2018,2099,268,269,3206,3207,3209,3479,3975,3976,4488,5076,54361,657,7076,7474,7476,8626,0,0,Female Urogenital Diseases
9,153090,183,185,3949,4035,4318,4323,5743,653361,6648,0,0,0,0,0,0,0,0,0,Aortic Aneurysm Abdominal
1437,2056,2147,2152,2153,2155,2157,2162,2165,3717,4018,4524,462,51156,5327,5328,5340,5624,7035,93183,Venous Thrombosis
10280,11255,1437,2770,2773,2922,351,3552,3558,3569,4803,5173,5443,551,5550,6863,7200,0,0,0,Amnesia
1071,116519,1401,2646,338,3440,3630,4023,5360,5465,590,64788,85019,8882,0,0,0,0,0,0,Hypertriglyceridemia
1000,10803,1232,1236,1237,1244,1268,1392,1756,1965,2056,2185,2353,2596,2668,2826,288,2891,2911,2915,Status Epilepticus
11035,1277,1756,197,2056,2209,249,2591,29108,3553,3606,3688,3689,3717,3934,4046,4313,4318,4851,5155,Calcinosis
11167,1277,1281,1490,2335,4015,4878,4879,7040,7042,7076,0,0,0,0,0,0,0,0,0,Aortic Valve Insufficiency
11155,1837,4000,4607,4625,57534,57644,63976,6901,70,7139,7168,0,0,0,0,0,0,0,0,Left ventricular noncompaction
133,1440,284,3146,3440,3458,3579,3586,3929,4049,4282,4318,4843,4846,5594,5595,5624,7040,7099,7124,Sepsis
9,100188863,10025,100506885,10060,10090,10125,10140,10154,10257,10562,10628,10666,10902,10924,11067,116039,120892,121601,1268,Endometriosis
177,1906,199,2629,2670,348,3480,3481,3482,3630,3643,4099,4803,4914,4915,6620,6622,6648,8678,0,Lewy Body Disease
10142,10308,10443,1401,2067,2071,2072,22902,23043,2803,2920,2921,29896,3304,3398,3552,3553,3557,366,3759,Arsenic Poisoning
100126314,100126317,100302123,100302129,100302142,100302258,100506658,1501,1553,1645,1646,1879,1950,2026,2034,2099,23239,2335,238,26227,Neoplastic Cell Transformation
